size, clock: 
1000,2e-06
2000,1e-06
3000,1e-06
4000,0
5000,1e-06
6000,0
7000,1e-06
8000,0
9000,0
10000,0
11000,0
12000,1e-06
13000,0
14000,0
15000,2e-06
16000,1e-06
17000,1e-06
18000,0
19000,0
20000,0
21000,1e-06
22000,2e-06
23000,1e-06
24000,1e-06
25000,1e-06
26000,1e-06
27000,1e-06
28000,1e-06
29000,1e-06
30000,0
31000,0
32000,0
33000,1e-06
34000,2e-06
35000,1e-06
36000,0
37000,0
38000,0
39000,0
40000,1e-06
41000,0
42000,0
43000,0
44000,1e-06
45000,0
46000,0
47000,0
48000,2e-06
49000,0
50000,1e-06
51000,0
52000,0
53000,2e-06
54000,1e-06
55000,0
56000,1e-06
57000,1e-06
58000,2e-06
59000,0
60000,0
61000,0
62000,2e-06
63000,0
64000,0
65000,1e-06
66000,0
67000,2e-06
68000,1e-06
69000,1e-06
70000,0
71000,0
72000,1e-06
73000,0
74000,1e-06
75000,0
76000,0
77000,0
78000,1e-06
79000,1e-06
80000,0
81000,1e-06
82000,1e-06
83000,1e-06
84000,2e-06
85000,0
86000,0
87000,1e-06
88000,0
89000,1e-06
90000,2e-06
91000,1e-06
92000,0
93000,0
94000,0
95000,1e-06
96000,2e-06
97000,0
98000,0
99000,0
100000,0
