size, clock: 
1000,3e-06
2000,8e-06
3000,9e-06
4000,1.2e-05
5000,1.5e-05
6000,1.9e-05
7000,2.1e-05
8000,2.5e-05
9000,2.7e-05
10000,3e-05
11000,3.4e-05
12000,3.7e-05
13000,4e-05
14000,4.4e-05
15000,4.6e-05
16000,5e-05
17000,5.3e-05
18000,5.5e-05
19000,5.9e-05
20000,6e-05
21000,6.4e-05
22000,6.8e-05
23000,7e-05
24000,7.2e-05
25000,7.5e-05
26000,8e-05
27000,8.3e-05
28000,8.5e-05
29000,8.8e-05
30000,9.4e-05
31000,0.000139
32000,9.7e-05
33000,0.000101
34000,0.000103
35000,0.000106
36000,0.000109
37000,0.000113
38000,0.000115
39000,0.000119
40000,0.000121
41000,0.000125
42000,0.000128
43000,0.00013
44000,0.000134
45000,0.000137
46000,0.000141
47000,0.000142
48000,0.000145
49000,0.000148
50000,0.000152
51000,0.000155
52000,0.000158
53000,0.00016
54000,0.000163
55000,0.000166
56000,0.00017
57000,0.000172
58000,0.000175
59000,0.000179
60000,0.000182
61000,0.000185
62000,0.000188
63000,0.000191
64000,0.000194
65000,0.000197
66000,0.000199
67000,0.000205
68000,0.000207
69000,0.000209
70000,0.000212
71000,0.000215
72000,0.000219
73000,0.000221
74000,0.000224
75000,0.000227
76000,0.000231
77000,0.000233
78000,0.000237
79000,0.000239
80000,0.000242
81000,0.000246
82000,0.000248
83000,0.000251
84000,0.000254
85000,0.000257
86000,0.000262
87000,0.000263
88000,0.000267
89000,0.000271
90000,0.000273
91000,0.000275
92000,0.000279
93000,0.000281
94000,0.000284
95000,0.000288
96000,0.00029
97000,0.000294
98000,0.000296
99000,0.0003
100000,0.000304
