size, clock: 
1000,0.001588
2000,0.00772
3000,0.016406
4000,0.026643
5000,0.046631
6000,0.05986
7000,0.086651
8000,0.10097
9000,0.126351
10000,0.160053
11000,0.200806
12000,0.232784
13000,0.287157
14000,0.319898
15000,0.383852
16000,0.421989
17000,0.467297
18000,0.53154
19000,0.571703
20000,0.643399
21000,0.68392
22000,0.789004
23000,0.796107
24000,0.84518
25000,0.968723
26000,1.06415
27000,1.07282
28000,1.20076
29000,1.24131
30000,1.35285
31000,1.55257
32000,1.50316
33000,1.62547
34000,1.72341
35000,1.78219
36000,1.95104
37000,2.02086
38000,2.09883
39000,2.22074
40000,2.40562
41000,2.47019
42000,2.58049
43000,2.71543
44000,3.24508
45000,3.21593
46000,3.41304
47000,3.32387
48000,3.57663
49000,3.78112
50000,3.68291
51000,3.83036
52000,4.09276
53000,4.15258
54000,4.3465
55000,4.38601
56000,4.67999
57000,4.92766
58000,4.90877
59000,5.18583
60000,5.30281
61000,5.51944
62000,5.62799
63000,5.87776
64000,6.02725
65000,6.2684
66000,6.34486
67000,6.59087
68000,6.996
69000,7.0884
70000,7.18964
71000,7.48007
72000,7.68107
73000,8.24327
74000,8.41095
75000,8.29536
76000,8.72851
77000,8.87226
78000,8.95226
79000,9.28034
80000,9.65962
81000,9.81495
82000,10.0662
83000,10.1473
84000,10.4604
85000,10.7502
86000,10.7678
87000,11.1582
88000,11.504
89000,13.0316
90000,12.1839
91000,12.8442
92000,12.5436
93000,13.0899
94000,13.0566
95000,13.3954
96000,13.7202
97000,14.038
98000,14.2093
99000,14.7207
100000,15.7043
