size, clock: 
1000,3.9e-05
2000,3.8e-05
3000,3.7e-05
4000,3.7e-05
5000,3.8e-05
6000,3.7e-05
7000,3.7e-05
8000,3.8e-05
9000,5.4e-05
10000,3.8e-05
11000,3.8e-05
12000,4e-05
13000,3.8e-05
14000,3.6e-05
15000,3.8e-05
16000,3.8e-05
17000,3.8e-05
18000,3.8e-05
19000,3.7e-05
20000,3.7e-05
21000,3.7e-05
22000,3.8e-05
23000,3.8e-05
24000,3.8e-05
25000,3.6e-05
26000,3.8e-05
27000,3.7e-05
28000,3.7e-05
29000,3.8e-05
30000,3.9e-05
31000,3.8e-05
32000,3.7e-05
33000,3.7e-05
34000,3.9e-05
35000,3.7e-05
36000,3.8e-05
37000,3.8e-05
38000,3.7e-05
39000,3.7e-05
40000,3.8e-05
41000,3.8e-05
42000,4.3e-05
43000,4e-05
44000,3.7e-05
45000,3.7e-05
46000,3.7e-05
47000,3.8e-05
48000,3.7e-05
49000,3.7e-05
50000,3.8e-05
51000,3.9e-05
52000,7.2e-05
53000,3.8e-05
54000,3.7e-05
55000,3.8e-05
56000,3.8e-05
57000,3.6e-05
58000,3.9e-05
59000,3.9e-05
60000,3.9e-05
61000,3.9e-05
62000,3.8e-05
63000,3.8e-05
64000,3.8e-05
65000,3.8e-05
66000,3.9e-05
67000,3.8e-05
68000,3.8e-05
69000,3.8e-05
70000,3.8e-05
71000,3.8e-05
72000,3.8e-05
73000,4.7e-05
74000,4.2e-05
75000,3.9e-05
76000,3.8e-05
77000,3.7e-05
78000,3.8e-05
79000,3.7e-05
80000,3.8e-05
81000,3.8e-05
82000,3.8e-05
83000,3.8e-05
84000,3.9e-05
85000,3.7e-05
86000,3.8e-05
87000,3.7e-05
88000,3.8e-05
89000,3.6e-05
90000,3.7e-05
91000,3.9e-05
92000,3.8e-05
93000,3.7e-05
94000,3.7e-05
95000,3.8e-05
96000,3.9e-05
97000,3.8e-05
98000,3.8e-05
99000,3.7e-05
100000,3.7e-05
