size, clock: 
1000,6e-06
2000,2e-06
3000,2e-06
4000,2e-06
5000,2e-06
6000,2e-06
7000,2e-06
8000,1e-06
9000,1e-06
10000,1e-06
11000,1e-06
12000,2e-06
13000,1e-06
14000,1e-06
15000,1e-06
16000,1e-06
17000,2e-06
18000,1e-06
19000,1e-06
20000,2e-06
21000,2e-06
22000,1e-06
23000,1e-06
24000,1e-06
25000,2e-06
26000,1e-06
27000,1e-06
28000,2e-06
29000,2e-06
30000,0
31000,2e-06
32000,1e-06
33000,1e-06
34000,1e-06
35000,1e-06
36000,1e-06
37000,1e-06
38000,0
39000,0
40000,1e-06
41000,1e-06
42000,1e-06
43000,1e-06
44000,1e-06
45000,1e-06
46000,1e-06
47000,1e-06
48000,1e-06
49000,1e-06
50000,0
51000,0
52000,1e-06
53000,2e-06
54000,0
55000,1e-06
56000,1e-06
57000,1e-06
58000,1e-06
59000,1e-06
60000,0
61000,2e-06
62000,1e-06
63000,0
64000,1e-06
65000,2e-06
66000,1e-06
67000,1e-06
68000,0
69000,1e-06
70000,1e-06
71000,2e-06
72000,1e-06
73000,1e-06
74000,1e-06
75000,0
76000,2e-06
77000,0
78000,0
79000,1e-06
80000,1e-06
81000,2e-06
82000,1e-06
83000,2e-06
84000,1e-06
85000,2e-06
86000,1e-06
87000,2e-06
88000,1e-06
89000,1e-06
90000,0
91000,1e-06
92000,0
93000,1e-06
94000,2e-06
95000,1e-06
96000,1e-06
97000,2e-06
98000,2e-06
99000,1e-06
100000,1e-06
